,video_id,video_title,video_date,view_count,like_count,comment_count
0,Hwybp38GnZw,I Built Willy Wonka&#39;s Chocolate Factory!,2022-06-04 20:00:02+00:00,72184676,3955922,167574
1,hD1YtmKXNb4,"$10,000 Every Day You Survive Prison",2022-04-09 20:00:00+00:00,71950015,3163669,155042
2,LnlKwzc_TNA,"Would You Swim With Sharks For $100,000?",2022-03-19 20:02:32+00:00,65759316,2554696,101023
3,3jS_yEK8qVI,World’s Most Dangerous Escape Room!,2022-01-29 21:00:01+00:00,105450397,3613436,143352
4,00NgUctWoLQ,"Extreme $1,000,000 Hide And Seek",2021-12-18 21:00:00+00:00,67451827,3093434,136564
5,x9TQ6culXIA,"$1,000,000 Influencer Tournament!",2021-12-16 21:00:00+00:00,53922528,2741547,92027
6,QbJJwaVdgIs,I Got Hunted By The Military,2021-12-10 21:30:02+00:00,73805261,2906973,96680
7,0e3GPea1Tyg,"$456,000 Squid Game In Real Life!",2021-11-24 21:00:01+00:00,262715148,13889547,609509
8,cV2gBU6hKfY,I Cleaned The World’s Dirtiest Beach #TeamSeas,2021-10-29 19:59:43+00:00,64837254,4518593,180479
9,qIsgdOVGA04,"Last To Take Hand Off Lamborghini, Keeps It",2021-10-23 20:00:01+00:00,85381250,3296423,126721
10,cExLQ1o2pDw,"First To Rob Bank Wins $100,000",2021-09-26 20:00:06+00:00,73172882,2716859,122575
11,uocETPj4Jx4,"Extreme $500,000 Game Of Tag!",2021-09-04 20:00:07+00:00,74305641,3039461,101139
12,zxYjTTXc-J8,"Last To Leave Circle Wins $500,000",2021-08-31 20:01:03+00:00,158517843,4220419,106941
13,hxwpkM5w3Cc,I Got Hunted By The FBI,2021-08-07 23:00:03+00:00,93931820,2871130,91162
14,ktyJIj6i4Qw,"If You Can Carry $1,000,000 You Keep It!",2021-07-24 20:00:59+00:00,79667339,2321177,72969
15,urtFrxDUV6c,"Would YOU Quit School For $100,000?",2021-07-10 20:00:09+00:00,70041963,2233505,80745
16,nM89Wl03Q4g,I Survived 50 Hours In A Maximum Security Prison,2021-06-26 20:00:02+00:00,107332912,2523969,97518
17,NZlClr_ivb4,"Hit The Target, Win $300,000",2021-06-12 20:00:01+00:00,100138873,2703571,85821
18,E6E22XQPhhg,Anything You Can Fit In The Triangle I’ll Pay For,2021-06-01 20:00:02+00:00,82499928,2408794,87398
19,TQHEJj68Jew,I Got Hunted By A Real Bounty Hunter,2021-04-24 20:00:00+00:00,98635962,3052149,126519
20,WcwGleN38zE,"Extreme $100,000 Game of Tag!",2021-04-17 20:00:00+00:00,101762088,2619856,119481
21,fMfipiV_17o,"Would You Sit In Snakes For $10,000?",2021-04-10 21:00:07+00:00,145927386,3702096,137715
22,ayXxwJJId_c,"I Bought The World&#39;s Largest Mystery Box! ($500,000)",2021-04-03 20:00:01+00:00,127295843,3460070,168441
23,9bqk6ZUsKyA,I Spent 50 Hours Buried Alive,2021-03-27 20:00:04+00:00,180057414,5864836,238032
24,DuQbOQwVaNE,"Offering People $100,000 To Quit Their Job",2021-03-13 21:00:02+00:00,89973352,2797996,118955
25,vJH28ICkCdU,I Sold My House For $1,2021-03-06 21:00:02+00:00,91456554,2926123,116805
26,_uwNDiU04zE,"If You Press This, I’ll Pay...",2021-02-13 21:00:01+00:00,45426783,2723466,153308
27,C680oxL__ck,"I Ate $100,000 Golden Ice Cream",2021-01-22 21:00:03+00:00,123629977,3881982,166611
28,5Fg9oZk-5uA,I Bought Everything In 5 Stores,2021-01-09 21:01:25+00:00,86127302,3889914,188247
29,PKtnafFtfEo,"Youtube Rewind 2020, Thank God It&#39;s Over",2021-01-01 21:00:03+00:00,60381870,4811015,293593
30,f0c7pSCoZqE,"I Put 1,000,000 Christmas Lights On A House (World Record)",2020-12-23 21:00:06+00:00,59721856,2236028,109958
31,dg2Ag3e8W-Q,I Opened A Restaurant That Pays You To Eat At It,2020-12-19 22:00:03+00:00,111801680,3865629,729173
32,LeYsRMZFUq0,"I Gave People $1,000,000 But ONLY 1 Minute To Spend It!",2020-12-15 21:00:11+00:00,104706738,4638944,173795
33,Dc2ZRmuH5OM,"Steal This $100,000 Diamond, You Keep It",2020-11-28 21:00:04+00:00,118661324,2680986,94376
34,GLoeAJUcz38,"Press This Button To Win $100,000!",2020-11-14 21:00:02+00:00,175359880,3090263,88006
35,SZQhgExjBvQ,I Survived 24 Hours Straight In Ice,2020-10-29 20:17:44+00:00,96305150,3018067,190194
36,IoZri9hq7z4,I Uber’d People And Let Them Keep The Car,2020-10-24 20:00:01+00:00,72790752,2740714,83798
37,1V_03efSkg0,"$300,000 Influencer Trivia Tournament!",2020-10-18 00:19:57+00:00,53276931,2078321,117688
38,vp5sSqyZ5Go,I Filled My Brother’s House With Slime &amp; Bought Him A New One,2020-10-10 20:00:31+00:00,110728989,2860272,117675
39,AKJfakEsgy0,Hi Me In 5 Years,2020-10-04 20:00:54+00:00,62026977,4345692,205535
40,Vl3swga-Xrk,"Would You Rather Have A Giant Diamond or $100,000?",2020-09-26 20:40:02+00:00,97095038,2216183,73677
41,UE5AHE2Ypr8,"I Gave My 40,000,000th Subscriber 40 Cars",2020-09-19 20:00:02+00:00,101948141,3392311,181861
42,TDiXxsQ0w2Q,Why I Haven’t Been Uploading,2020-09-17 20:00:05+00:00,34809179,2208911,98065
43,oD155zWANQg,"Get This Random Person 1,000,000 Subscribers",2020-09-05 20:00:17+00:00,45587348,1862656,122943
44,s1ax8Tx_Jz0,Would YOU Rather Have A Lamborghini or This House?,2020-08-22 20:00:01+00:00,141453278,3263500,154461
45,NkE0AMGzpJY,"Last To Leave $800,000 Island Keeps It",2020-08-15 20:00:02+00:00,143727522,4016492,227538
46,FbM1yi4mMMc,I Bought A Private Island,2020-08-13 20:00:07+00:00,90349588,2992808,129113
47,5V2B28OqfqM,"I Spent $1,000,000 On Lottery Tickets and WON",2020-08-08 20:00:02+00:00,68105938,2337843,84295
48,Rj_vssRaZlQ,I Ate The World’s Largest Slice Of Pizza,2020-08-01 20:00:02+00:00,124539153,2979525,129589
49,YQDDm9HLkV4,I Adopted EVERY Dog In A Dog Shelter,2020-07-23 20:00:11+00:00,128598200,3650453,200865
50,erQ_9yEz0ls,"I Bought The World&#39;s Largest Firework ($600,000)",2020-07-03 21:00:20+00:00,124474991,3966968,175225
51,OAbP-V6fEVc,I Broke Into A House,2020-06-25 20:00:00+00:00,85169755,2477840,187711
52,_qAJMXfL6o0,"Would You Rather Have $100,000 OR This Mystery Key?",2020-06-13 20:00:01+00:00,137279604,3033393,119242
53,59AYXzCa-Cs,I Built The World&#39;s Largest Lego Tower,2020-06-06 20:00:01+00:00,91133845,2384355,74205
54,r7zJ8srwwjk,I Spent 50 Hours In Solitary Confinement,2020-05-30 20:10:08+00:00,182979907,3425724,110238
55,YSoJPA8-oHc,If You Click This Video I&#39;ll Give My Friend .001$,2020-05-23 21:01:02+00:00,132124875,5276501,156258
56,5Hg_QSIJm8I,"I Gave $200,000 To People Who Lost Their Jobs (Corona Virus)",2020-05-07 19:59:59+00:00,36801027,1325300,67326
57,gsWPpE4Rid0,Videos I Could Not Upload...,2020-04-30 20:00:08+00:00,73882197,2422614,61924
58,Ih2WTyY62J4,"$250,000 Influencer Rock, Paper, Scissors Tournament",2020-04-26 01:36:25+00:00,44099118,1591897,56672
59,HBMmK1c44sE,I Spent 24 Hours In A Doomsday Bunker,2020-04-11 20:00:00+00:00,115860521,2246826,79145
60,oBYbxw8f5OI,"Giving $1,000,000 Of Food To People In Need",2020-03-27 20:00:05+00:00,29836771,1378523,66952
61,AiGKBNGlzHo,I Ran A Marathon In The World&#39;s Largest Shoes,2020-03-21 20:00:02+00:00,73593818,2111554,61760
62,_mdKvblL_8s,"$70,000 Extreme Hide And Seek - Challenge",2020-03-13 20:00:04+00:00,81064574,1910093,67863
63,yXWw0_UfSFg,Anything You Can Fit In The Circle I’ll Pay For,2020-03-07 21:00:00+00:00,165569349,3934573,110251
